Date,Open,High,Low,Close,Adj Close
01/01/1994,46.59375,48.3125,46.40625,48.21875,27.769724
01/02/1994,48.15625,48.28125,46.5625,46.8125,26.959848
01/03/1994,46.8125,47.3125,43.53125,44.59375,25.682068
01/04/1994,43.34375,45.359375,43.34375,45.09375,26.119818
01/05/1994,45.09375,45.9375,44.171875,45.8125,26.536144
01/06/1994,45.703125,46.5625,44,44.46875,25.757786
01/07/1994,44.6875,46.046875,44.375,45.90625,26.766247
01/08/1994,45.9375,47.984375,45.65625,47.65625,27.786613
01/09/1994,47.5,47.71875,45.734375,46.171875,26.921131
01/10/1994,46.203125,47.703125,45,47.484375,27.854799
01/11/1994,47.28125,47.328125,44.609375,45.59375,26.745726
01/12/1994,45.640625,46.40625,44.6875,45.5625,26.727392
01/01/1995,45.703125,47.234375,45.6875,47.09375,27.845907
01/02/1995,47.15625,49.15625,47,49.015625,28.982279
01/03/1995,48.96875,50.890625,48.21875,50.109375,29.629015
01/04/1995,50.09375,51.671875,50.0625,51.59375,30.671841
01/05/1995,51.546875,53.640625,51.390625,53.640625,31.888662
01/06/1995,53.40625,55.15625,52.75,54.40625,32.343815
01/07/1995,54.46875,56.703125,54.203125,56.15625,33.580212
01/08/1995,56.234375,56.796875,55.421875,56.40625,33.729717
01/09/1995,56.390625,58.90625,56.34375,58.484375,34.972404
01/10/1995,58.484375,59.1875,57.265625,58.3125,35.05571
01/11/1995,58.28125,61.203125,58.234375,60.90625,36.615017
01/12/1995,60.984375,62.796875,60.578125,61.484375,36.962563
01/01/1996,61.40625,63.6875,59.640625,63.671875,38.514271
01/02/1996,63.609375,66.6875,63.4375,63.875,38.637115
01/03/1996,64.640625,65.96875,62,64.6875,39.128609
01/04/1996,65,65.8125,62.125,65.390625,39.729599
01/05/1996,65.375,68.4375,63.078125,66.875,40.631454
01/06/1996,66.890625,68.5,66.15625,67.109375,40.773861
01/07/1996,67.28125,67.703125,60.375,64.09375,39.14798
01/08/1996,64.15625,67.34375,64.0625,65.328125,39.901932
01/09/1996,64.46875,69.25,64.375,68.625,41.915638
01/10/1996,68.703125,71.625,68.4375,70.84375,43.493519
01/11/1996,70.984375,76.6875,70.265625,76.015625,46.668724
01/12/1996,75.921875,76.578125,71.875,73.84375,45.335335
01/01/1997,74.375,79.6875,72.75,78.40625,48.373005
01/02/1997,78.71875,82,77.125,79.15625,48.83572
01/03/1997,78.75,81.796875,75.25,75.375,46.502842
01/04/1997,75.25,80.6875,73.3125,80.09375,49.603317
01/05/1997,80.21875,85.5625,79.3125,85.15625,52.738594
01/06/1997,85.34375,90.5,84.078125,88.3125,54.693333
01/07/1997,88.5,96.03125,88.390625,95.3125,59.258347
01/08/1997,95.5,96.625,89.34375,90.375,56.18858
01/09/1997,90.6875,96.375,90.25,94.375,58.675514
01/10/1997,95.25,98.5,84.375,92.0625,57.447723
01/11/1997,93.1875,96.8125,90.09375,95.625,59.670765
01/12/1997,96.21875,99,92.375,97.0625,60.567764
01/01/1998,97.3125,99.5625,90.90625,98.3125,61.591885
01/02/1998,99.90625,105.53125,99.71875,105.125,65.859856
01/03/1998,105.25,111.53125,103.15625,109.9375,68.874832
01/04/1998,110.3125,113.4375,107.625,111.34375,69.956261
01/05/1998,111.75,113.3125,107.578125,109.03125,68.503311
01/06/1998,108.96875,114.6875,107.5,113.3125,71.193222
01/07/1998,114.0625,119.234375,111.3125,111.78125,70.454643
01/08/1998,111.78125,112.421875,95,96,60.507843
01/09/1998,96.0625,107,93.625,101.75,64.131973
01/10/1998,100.03125,110.90625,92.21875,110,69.576813
01/11/1998,110.8125,119.71875,110.1875,116.125,73.450974
01/12/1998,116.125,124.75,113.75,123.3125,77.997169
01/01/1999,123.375,128.5,120.375,127.65625,81.012909
01/02/1999,128.6875,128.84375,121.328125,123.5625,78.414925
01/03/1999,123.65625,132.625,121.78125,128.375,81.469055
01/04/1999,129.6875,137.5,128.125,133.25,84.767914
01/05/1999,133.4375,138,128,130.203125,82.829628
01/06/1999,130.125,137.5,128.015625,137,87.153488
01/07/1999,137,142.25,132.5625,132.75,84.704773
01/08/1999,132.75,138.78125,127,132.0625,84.266098
01/09/1999,132.9375,136.625,125.5625,128.75,82.152496
01/10/1999,127.9375,137.6875,123.4375,137,87.662788
01/11/1999,136.5,143,134.59375,139.28125,89.122505
01/12/1999,139.3125,147.5625,139,146.875,93.981537
01/01/2000,148.25,148.25,135,139.5625,89.521706
01/02/2000,139.75,144.5625,132.71875,137.4375,88.158592
01/03/2000,137.625,155.75,135.03125,150.375,96.457382
01/04/2000,150.125,153.109375,133.5,145.09375,93.30619
01/05/2000,146.5625,148.484375,136.5,142.8125,91.839203
01/06/2000,143.6875,149.15625,143,145.28125,93.426804
01/07/2000,145.4375,151.984375,141.515625,143,92.176292
01/08/2000,143.625,153.09375,142.625,152.34375,98.199173
01/09/2000,153.25,153.59375,142.125,143.625,92.57917
01/10/2000,144.28125,145.75,130.15625,142.953125,92.377563
01/11/2000,142.25,144.296875,129.75,132.28125,85.481308
01/12/2000,133.1875,139.5625,125.53125,131.1875,84.774536
01/01/2001,132,138.699997,127.5625,137.020004,88.815132
01/02/2001,137.100006,137.990005,121.800003,123.949997,80.343246
01/03/2001,124.050003,127.75,108.040001,116.690002,75.637428
01/04/2001,116.300003,127.269997,109.300003,126.660004,82.320915
01/05/2001,125.07,132.089996,123.440002,125.949997,81.859436
01/06/2001,126.199997,129.229996,120.400002,122.599998,79.682175
01/07/2001,122.800003,124.32,116.75,121.349998,79.094086
01/08/2001,121.970001,123.25,112.040001,114.150002,74.401237
01/09/2001,113.849998,116.169998,93.800003,104.440002,68.072395
01/10/2001,103.900002,111.790001,102.830002,105.800003,69.217575
01/11/2001,106.599998,116.900002,105.699997,114.050003,74.61499
01/12/2001,113.650002,118,112,114.300003,74.778557
01/01/2002,115.110001,117.989998,108.400002,113.18,74.300522
